Date,equity
2025-08-14,0.0
2025-08-18,0.0
2025-08-19,2697.4522060708296
2025-08-20,5375.054227227565
2025-08-21,5453.674752177949
2025-08-22,14121.216306812494
2025-08-25,6698.1455466144325
2025-08-26,-1535.6884146674129
2025-08-28,-1535.6884146674129
2025-08-29,496.5347106658901
2025-09-01,-8922.5877842788
2025-09-02,-12089.225708494756
2025-09-03,-7897.350571323646
2025-09-04,-8395.670508175577
2025-09-05,-9425.701130541926
2025-09-08,-9425.701130541926
2025-09-09,-6576.615661041784
2025-09-10,1378.018559399301
2025-09-11,3611.8520677406777
2025-09-12,-539.0917893073365
2025-09-15,-539.0917893073365
2025-09-16,6454.292298150507
2025-09-17,13100.657417821607
2025-09-18,23812.114232687298
2025-09-19,26577.920406434867
2025-09-22,29816.435253127263
2025-09-23,27896.618323918454
2025-09-24,29362.030542101835
2025-09-25,42063.51541953838
2025-09-26,51815.92473515836
2025-09-29,50989.56458003847
2025-09-30,49369.44491345759
2025-10-01,45691.74800136572
2025-10-03,45691.74800136572
2025-10-06,45691.74800136572
2025-10-07,45132.73782535577
2025-10-08,40795.20712647683
2025-10-09,40795.20712647683
2025-10-10,36596.18391089527
2025-10-13,36596.18391089527
2025-10-14,32350.569426821283
2025-10-15,39460.16900888123
2025-10-16,57868.71870659986
2025-10-17,53086.03000943569
2025-10-20,53086.03000943569
2025-10-21,52310.07498410606
2025-10-23,52310.07498410606
2025-10-24,55271.926169450555
2025-10-27,45892.983994137125
2025-10-28,42938.03243313703
2025-10-29,46087.86991539257
2025-10-30,35926.574657428886
2025-10-31,41714.16301973243
2025-11-03,37024.03596176539
2025-11-04,30229.83025329404
2025-11-06,30229.83025329404
2025-11-07,30025.77189944518
2025-11-10,24279.777616022555
2025-11-11,28431.660082811686
2025-11-12,46192.224457790275
2025-11-13,44969.79508167537
2025-11-14,43045.14603397196
2025-11-17,43045.14603397196
2025-11-18,37726.67467296618
2025-11-19,42826.402501964585
2025-11-20,51721.41904647655
2025-11-21,55875.066811229626
2025-11-24,58883.375692675996
2025-11-25,58456.90313542931
2025-11-26,55875.84713094719
2025-11-27,56124.459572410604
2025-11-28,55721.08044344671
2025-12-01,55721.08044344671
2025-12-02,50011.086348259174
2025-12-03,46291.45263015279
2025-12-04,46291.45263015279
2025-12-05,40720.779589847356
2025-12-08,40720.779589847356
